"Area Name","dis2012","breast_2012","immun2011","dwellterraced2012","dwellroom12012","jobs2011","urbanclass","house_prices_mean"
"S01000001",4891.3,50,86.7,5,4,0,3,251249
"S01000002",3100.8,35.7,100,23,0,10.9,1,196728
"S01000003",1219.5,53.8,100,13,0,4.9,1,141432
"S01000004",1618.1,60,100,13,0,0,1,181857
"S01000005",2525.3,100,100,11,0,0,3,167748
"S01000006",5636.1,75,71.4,11,4,8.2,3,176230
"S01000007",4315.7,100,100,7,0,7.8,3,234730
"S01000008",4562,42.9,100,33,0,12.2,3,151389
"S01000009",3698.2,50,83.3,34,0,7.1,1,174479
"S01000010",3831.4,0,100,7,0,0,1,201348
"S01000011",921.7,80,75,0,3,0,3,381923
"S01000012",2814.9,34.8,96.4,1,0,0,1,326353
"S01000013",3184.7,55.6,100,45,0,6,3,184516
"S01000014",4415,42.9,100,62,0,5,1,188167
"S01000015",2989.5,50,100,37,6,0,1,144650
"S01000016",1362.4,50,100,5,13,0,3,485000
"S01000017",4166.7,36.4,100,63,0,0,1,142891
"S01000018",4960.3,50,100,67,0,0,1,134766
"S01000019",2713.7,100,100,5,0,0,3,257000
"S01000020",9286.4,33.3,60,4,20,0,1,334132
"S01000021",5325.4,50,100,59,2,4.3,1,145067
"S01000022",1314.1,50,100,1,0,0,1,465955
"S01000023",1886.8,50,100,1,0,0,3,338701
"S01000024",934.6,50,100,13,1,0,5,387837
"S01000025",2648.3,100,87.5,2,0,3.1,1,496886
"S01000026",9732.4,20,100,41,1,5.8,1,126917
"S01000027",2448,50,100,21,1,0,1,288267
"S01000028",7575.8,30.8,100,58,1,5.3,1,122516
"S01000029",469,66.7,100,0,0,0,1,523957
"S01000030",4098.4,14.3,100,50,2,0,1,105489
"S01000031",2422.5,58.3,100,6,0,0,1,278272
"S01000032",7653.1,20,100,69,0,0,1,128808
"S01000033",6521.7,20,100,21,0,6.4,1,97929
"S01000034",806.5,46.7,100,9,0,0,1,454747
"S01000035",4793.9,80,100,45,5,0,1,137663
"S01000036",8645.5,20,100,43,1,0,1,150609
"S01000037",7112.4,37.5,90,2,4,0,1,142730
"S01000038",6578.9,57.1,100,75,1,4.9,1,138165
"S01000039",5662.5,64.3,100,42,0,3.4,1,138885
"S01000040",6447.8,16.7,100,35,0,4.3,1,143586
"S01000041",7863.7,50,100,0,0,0,1,279089
"S01000042",9554.1,25,100,17,0,0,1,147346
"S01000043",4522,54.5,100,5,3,5.6,1,143784
"S01000044",9079.9,50,100,25,1,4.1,1,138293
"S01000045",1757.5,83.3,100,9,0,0,1,278051
"S01000046",1336.9,71.4,100,9,0,0,1,276823
"S01000047",6675.6,87.5,100,2,2,6.4,1,150236
"S01000048",1618.1,92.3,100,3,1,0,1,215339
"S01000049",1373.6,100,100,12,0,0,1,304038
"S01000050",4524.9,75,100,12,0,0,1,245985
"S01000051",1884.4,33.3,100,3,0,0,1,313161
"S01000052",10833.3,28.6,100,25,0,5.9,1,112955
"S01000053",2349.6,77.8,71.4,17,2,5.9,1,205954
"S01000054",632.9,50,100,9,0,0,1,303951
"S01000055",6642.5,50,100,3,0,4.1,1,128800
"S01000056",2306.3,50,90,10,0,0,1,359923
"S01000057",9022.6,37.5,100,43,0,8.6,1,105000
"S01000058",1434.7,85.7,100,27,0,6.1,1,336636
"S01000059",1637.6,54.5,92.9,10,0,7.7,1,349217
"S01000060",7867.1,38.5,100,24,0,7,1,75000
"S01000061",1457.7,40,88.9,1,0,0,1,336975
"S01000062",1039.5,69.2,91.7,9,7,5.3,1,179166
"S01000063",1634,40,100,21,2,7.2,1,313239
"S01000064",5627,33.3,100,10,4,6.1,1,143436
"S01000065",2780.9,69.2,100,9,13,5.4,1,179936
"S01000066",5841.1,40,100,5,15,7.3,1,94847
"S01000067",2390.1,75,90,12,0,0,1,218020
"S01000068",1746.2,83.3,100,15,0,0,1,210275
"S01000069",8356.5,36.4,100,0,9,5.6,1,75008
