area,room_9,emerge_admiss,female_digest_admiss,ibsda_benefit,class
"S01000001","2","6190","4049","3.9","3"
"S01000002","0","6735","2907","1.1","1"
"S01000003","0","5711","2222","0.7","1"
"S01000004","0","8183","4290","1","1"
"S01000005","1","6113","3236","1","3"
"S01000006","0","12219","4308","2.9","3"
"S01000007","2","8610","3465","2.2","3"
"S01000008","1","9639","3947","3.3","3"
"S01000009","0","7284","3284","0.9","1"
"S01000010","0","6395","2230","1","1"
"S01000011","10","7605","2153","0.6","3"
"S01000012","2","6180","2667","0.9","1"
"S01000013","1","10451","2995","2.2","3"
"S01000014","1","11048","4204","1.3","1"
"S01000015","0","6942","1729","0.9","1"
"S01000016","10","3633","365","0.8","3"
"S01000017","0","9563","5507","1.3","1"
"S01000018","0","6483","2612","1.2","1"
"S01000019","1","12781","2895","0.8","3"
"S01000020","3","10064","3792","7.8","1"
"S01000021","0","10926","4067","1.4","1"
"S01000022","9","5189","2507","0.8","1"
"S01000023","5","6858","2513","0.8","3"
"S01000024","5","6331","760","0","5"
"S01000025","9","5648","2340","1.3","1"
"S01000026","0","13370","3942","6.5","1"
"S01000027","3","7087","5943","0.8","1"
"S01000028","0","9130","2811","4.1","1"
"S01000029","16","4630","1330","0","1"
"S01000030","0","13717","4132","3.8","1"
"S01000031","1","12282","3429","0.6","1"
"S01000032","0","13035","3141","3.1","1"
"S01000033","0","20084","5764","3.5","1"
"S01000034","7","4814","587","0","1"
"S01000035","0","11241","3571","3.4","1"
"S01000036","0","14048","3933","5.4","1"
"S01000037","0","10111","4348","3.3","1"
"S01000038","0","11849","5051","3.1","1"
"S01000039","0","14719","5947","3.3","1"
"S01000040","0","11752","5389","5.1","1"
"S01000041","0","11506","5755","2.2","1"
"S01000042","0","13147","5181","5","1"
"S01000043","0","7078","2506","0.7","1"
"S01000044","0","12340","4288","4.4","1"
"S01000045","1","6866","2980","1","1"
"S01000046","1","9413","2791","0","1"
"S01000047","0","8606","4612","4.3","1"
"S01000048","0","7581","2381","1.3","1"
"S01000049","1","9481","2625","0","1"
"S01000050","0","9091","1453","1.8","1"
"S01000051","0","11481","3829","1.5","1"
"S01000052","0","9692","5172","6.4","1"
"S01000053","1","10568","2003","1.6","1"
"S01000054","1","12883","6897","0.8","1"
"S01000055","0","12171","1179","4.6","1"
"S01000056","5","6778","3675","1.1","1"
"S01000057","0","11351","4482","5.9","1"
"S01000058","2","5749","2067","1.7","1"
"S01000059","0","4523","1674","1.3","1"
"S01000060","0","10827","2639","10.2","1"
"S01000061","3","7873","4423","0.6","1"
"S01000062","0","4665","2245","0.6","1"
"S01000063","2","5207","2887","0.7","1"
"S01000064","0","8906","3670","1.8","1"
"S01000065","0","7081","2600","1.9","1"
"S01000066","0","9405","5135","2.6","1"
"S01000067","1","9448","3309","1.1","1"
"S01000068","2","8258","4752","0.7","1"
"S01000069","0","11142","3046","5","1"
"S01000070","0","12782","3427","5.9","1"
"S01000071","0","11124","3864","4.9","1"
"S01000072","3","10256","2376","2.9","1"
"S01000073","2","9076","3470","2","1"
"S01000074","0","11960","2708","5.5","1"
"S01000075","0","7407","1003","1","1"
"S01000076","1","8006","3217","0","1"
"S01000077","2","5870","1695","0.7","1"
"S01000078","0","7056","2397","3.2","1"
"S01000079","0","4267","2284","0.4","1"
"S01000080","0","6157","2559","0.7","1"
"S01000081","2","5838","2948","0.7","1"
"S01000082","0","14388","3748","4.3","1"
"S01000083","1","4988","1333","1.6","1"
"S01000084","0","10097","2552","5.2","1"
"S01000085","0","4610","743","2.6","1"
"S01000086","1","9055","1690","0.7","1"
"S01000087","2","7944","3571","0","1"
"S01000088","0","4476","1965","1.3","1"
"S01000089","2","7053","2434","0.6","1"
"S01000090","2","6718","1055","0","1"
"S01000091","0","6743","1761","2.9","1"
"S01000092","0","6660","3738","1.4","1"
"S01000093","0","6439","1887","0.8","1"
"S01000094","0","4729","1458","1.5","1"
"S01000095","1","5080","2473","0.7","1"
"S01000096","0","14917","6868","4.2","1"
"S01000097","6","6379","3077","0.5","1"
"S01000098","1","9609","2947","4.5","1"
"S01000099","4","6167","3597","0.7","1"
"S01000100","0","6470","4474","1.9","1"
"S01000101","2","5698","1453","1.3","1"
"S01000102","0","14286","4011","4.8","1"
"S01000103","0","5195","3175","0.9","1"
"S01000104","8","5379","2483","0.7","1"
"S01000105","3","7598","2663","1.4","1"
"S01000106","19","5333","1790","0","1"
"S01000107","0","7551","4318","2.9","1"
"S01000108","0","8407","3916","4","1"
"S01000109","0","10531","3520","3.5","1"
"S01000110","0","13610","4025","0.7","1"
"S01000111","3","6927","2256","0.8","1"
"S01000112","0","8594","2239","4.4","1"
"S01000113","6","6066","987","1","1"
"S01000114","0","9080","2993","6","1"
"S01000115","0","15740","6164","5.1","1"
"S01000116","0","4464","1869","0.9","1"
"S01000117","3","9773","2107","0.6","1"
"S01000118","0","13324","4076","2.7","1"
"S01000119","0","14110","4604","5.4","1"
"S01000120","1","2660","3618","1.1","1"
"S01000121","1","11640","2933","6.8","1"
"S01000122","0","18592","4324","3.5","1"
"S01000123","3","6701","3368","2.7","3"
"S01000124","0","7003","3261","2.1","1"
"S01000125","0","10020","3926","2.2","1"
"S01000126","0","14545","4593","4.9","1"
"S01000127","1","6383","1818","1.6","1"
"S01000128","0","6605","2431","2.4","1"
"S01000129","0","4685","2098","0","1"
"S01000130","0","7785","2849","2.8","1"
"S01000131","1","7890","1613","0","1"
"S01000132","0","5357","2538","2.4","1"
"S01000133","0","12582","6499","3.8","1"
"S01000134","0","11724","3723","6.6","1"
"S01000135","0","9834","2210","7.1","1"
"S01000136","0","13127","2168","4.1","1"
"S01000137","0","9118","2268","3.3","1"
