area,count_births,count_deaths,count_pop,count_breastf,count_job_seekers,ratio_low_birthweight,ratio_hosp__acc_adm,ratio_hosp_planned_adm,ratio_fires,ratio_dis_allow,count_house_sales,house_sales_prices_mean
Abbey,88,172,10791,54,265,2.16E0,1240,12916,4.19E1,6.2898E3,117,139113
"Aboyne, Upper Deeside and Donside",106,118,10299,64,80,1.59E0,1158,11410,5.15E1,2.9324E3,135,270756
"Abronhill, Kildrum and the Village",175,123,14307,59,540,2.89E0,1073,13300,9.39E1,8.3844E3,179,88059
Aird and Loch Ness,76,82,10894,50,135,0,1139,10320,4.59E1,4.1284E3,102,185252
Airdrie Central,230,168,15961,56,700,2.85E0,1700,14504,1.433E2,9.5375E3,146,126562
Airdrie North,219,217,19417,55,830,1.12E0,1369,14481,4.93E1,9318,177,110262
Airdrie South,209,168,20154,38,630,1.15E0,1107,13648,4.28E1,7.3325E3,130,92662
Airyhall / Broomhill / Garthdee,182,190,16357,126,160,1.8E0,1535,11016,1.044E2,3734,305,215660
Almond,266,217,25394,193,335,1.34E0,1252,11337,6.18E1,3.3768E3,475,241769
Almond and Earn,105,113,11822,61,115,7.6E-1,1250,7867,4.63E1,4.3322E3,108,188992
An Taobh Siar agus Nis,15,41,2871,6,60,0,1769,16686,1.179E2,5.6586E3,17,100700
Anderston / City,233,183,28996,153,880,2.74E0,1124,7300,2.228E2,5.6506E3,383,147192
Annandale East and Eskdale,85,109,11945,34,230,9.0E-1,745,7532,77,5.7707E3,94,144372
Annandale North,113,166,13704,53,255,6.4E-1,1386,13043,7.98E1,5.8194E3,135,166172
Annandale South,147,164,15032,56,340,1.81E0,1344,12077,7.32E1,6761,138,131256
Annick,142,108,12308,54,325,1.64E0,1339,13006,1.164E2,4.9087E3,154,154963
Arbroath East and Lunan,198,183,15586,74,515,1.64E0,1246,8139,5.84E1,8.3339E3,130,129891
Arbroath West and Letham,147,176,16459,70,320,1.99E0,1233,8813,7.78E1,6.0318E3,166,128583
Ardrossan and Arran,122,191,17168,36,725,2.06E0,1594,12038,1.083E2,7.5056E3,160,127451
Armadale and Blackridge,232,132,15594,80,445,3.13E0,1514,9858,7.24E1,7.5671E3,161,139181
Avondale and Stonehouse,147,182,16886,56,370,1.54E0,1028,11704,4.29E1,5.8199E3,176,152442
Ayr East,104,179,14254,45,385,9.1E-1,1477,14534,4.64E1,6.1084E3,174,144060
Ayr North,215,172,17485,43,905,2.77E0,1939,13619,1.381E2,1.02348E4,194,93867
Ayr West,104,254,15442,57,435,2.41E0,1752,15702,1.369E2,5998,238,198729
Badenoch and Strathspey,119,119,13597,68,160,2.9E-1,1316,9406,7.35E1,4.0052E3,180,198110
Baillieston,363,339,31968,97,1175,2.98E0,1640,15874,6.44E1,1.12514E4,257,113510
Ballochmyle,146,187,14645,39,560,1.03E0,1611,13577,9.23E1,10286,80,95857
Banchory and Mid Deeside,105,100,11657,81,45,1.33E0,1154,10316,5.82E1,2.3704E3,169,280002
Banff and District,110,158,11147,51,155,2.65E0,1423,12781,8.95E1,6.8841E3,97,114716
Bannockburn,139,134,11517,49,425,2.31E0,1206,6936,4.99E1,8.7236E3,108,116281
"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",20,38,3099,9,80,1.59E0,1551,14674,1.293E2,5.3709E3,14,88929
Barrhead,182,184,17684,57,595,2.14E0,1386,15713,1.208E2,8.6877E3,149,109294
Bathgate,315,156,21248,100,550,1.69E0,1368,9145,152,7.6521E3,138,123032
Bearsden North,101,130,14171,72,130,1.64E0,915,14944,5.63E1,2.5024E3,194,296122
Bearsden South,97,126,13159,88,125,1.74E0,1100,16579,6.83E1,2.8372E3,173,251373
Beinn na Foghla agus Uibhist a Tuath,28,44,2963,13,50,3.17E0,1928,16537,1.015E2,5.3585E3,28,82586
Bellshill,151,174,14369,33,630,2.54E0,1310,14802,1.024E2,9.0568E3,112,84594
Bishopbriggs North and Torrance,78,117,13806,50,150,4.6E-1,1128,17486,2.29E1,3959,130,175368
Bishopbriggs South,114,112,12521,52,220,1.5E0,1474,15841,3.98E1,5.5884E3,128,152609
"Bishopton, Bridge of Weir & Langbank",103,136,11627,53,155,0,1164,14706,5.25E1,4.6993E3,110,175785
Black Isle,73,67,10024,48,95,1.05E0,976,10729,3.98E1,3.6311E3,106,204712
Blairgowrie and Glens,91,149,11793,44,200,1.49E0,1201,8546,3.67E1,5.6528E3,122,157845
Blantyre  ,185,219,17895,37,725,3.31E0,1309,12649,9.15E1,1.14299E4,124,91611
Bo'ness and Blackness,159,146,15508,62,420,2.78E0,975,7393,4.52E1,6.0163E3,129,123742
Bonnybridge and Larbert,196,170,16841,113,325,1.98E0,862,6234,21,6.0224E3,292,161573
Bonnyrigg,187,161,16392,93,330,1.26E0,1353,11075,6.44E1,7025,177,183799
Bothwell and Uddingston,92,125,12022,51,210,1.63E0,1013,14255,3.32E1,5.1797E3,177,186916
Brechin and Edzell,108,152,11626,46,245,2.37E0,1220,7994,8.19E1,5116,103,162972
Bridge of Don,168,136,18393,117,120,1.22E0,1191,9939,2.71E1,3.3252E3,352,182461
"Broxburn, Uphall and Winchburgh",219,177,19004,113,420,2.97E0,1620,9922,100,6.5259E3,170,137961
"Buckhaven, Methil and Wemyss Villages",243,250,18403,45,1000,2.2E0,1694,12320,7.53E1,1.01159E4,163,77101
Buckie,104,126,10255,35,185,2.14E0,1158,11185,4.41E1,5.7498E3,100,120749
"Burntisland, Kinghorn and Western Kirkcaldy",175,126,14583,78,395,2.69E0,1229,11059,8.92E1,4.5455E3,172,146943
"Busby, Clarkston and Eaglesham",131,118,14399,54,170,1.47E0,904,12962,2.99E1,4.1902E3,187,189155
Calton,317,276,24743,118,1360,2.81E0,2081,12919,1.657E2,1.39798E4,185,92148
Cambuslang East,261,128,15430,89,545,2.27E0,1140,13657,8.82E1,8.7912E3,242,140749
Cambuslang West,188,123,16138,67,455,1.63E0,1156,15624,1.364E2,7.8286E3,152,144997
Campsie and Kirkintilloch North,120,125,12343,40,330,9.7E-1,1332,16097,8.12E1,6.5615E3,136,144598
Canal,413,390,30841,176,1575,1.85E0,1694,15047,9.34E1,1.24003E4,313,144692
Caol and Mallaig,87,100,8278,47,145,4.7E-1,1536,11186,7.26E1,5.5823E3,62,165360
Carnoustie and District,132,113,13968,52,185,1.44E0,881,8390,6.03E1,4.7401E3,128,148274
Carse of Gowrie,95,73,9828,73,100,2.66E0,879,7543,3.07E1,3.8666E3,118,167507
"Carse, Kinnaird and Tryst",221,203,19723,72,385,1.98E0,953,7146,4.26E1,6.5639E3,193,116264
Castle  ,145,126,13023,71,485,2.08E0,1141,5284,9.12E1,6.5964E3,139,150130
Castle Douglas and Glenkens,85,86,10505,32,160,1.76E0,1212,12685,3.37E1,5.5389E3,76,180935
Central Buchan,111,100,13933,63,125,2.27E0,1006,10227,7.74E1,5.1619E3,162,165585
City Centre,188,86,24212,147,575,8.9E-1,1074,7216,1.522E2,3.4187E3,430,289870
Clackmannanshire Central,128,112,8825,34,365,2.55E0,1054,7720,4.58E1,9168,51,87426
Clackmannanshire East,57,60,7229,31,195,3.09E0,1004,8091,1.004E2,5.2234E3,90,214535
Clackmannanshire North,112,111,10869,32,415,3.47E0,1040,7259,1.288E2,6.1367E3,98,110555
Clackmannanshire South,165,105,11909,39,550,2.74E0,1085,6792,80,8.6369E3,125,102777
Clackmannanshire West,165,118,12448,43,360,2.6E0,1051,7432,4.01E1,6.6141E3,128,129681
Clydebank Central,150,199,14749,36,715,2.37E0,1719,18242,2.022E2,1.13334E4,99,94045
Clydebank Waterfront,192,241,15786,47,845,2.8E0,1639,15817,1.392E2,9.4579E3,120,100164
Clydesdale East,97,116,13018,52,245,1.61E0,968,13866,3.31E1,5120,128,168150
Clydesdale North,108,168,14966,40,475,1.1E0,954,15050,5.26E1,7.1746E3,151,133348
Clydesdale South,165,158,14777,43,490,2.72E0,1055,13241,57,7.8793E3,140,110497
Clydesdale West,176,208,18934,61,520,1.35E0,873,15651,6.86E1,7.0464E3,196,129725
Coatbridge North and Glenboig,220,204,19123,50,800,2.02E0,1320,14668,1.105E2,8.7782E3,153,103588
Coatbridge South,192,140,15220,49,575,2.68E0,1150,13427,8.16E1,9.1339E3,103,85883
Coatbridge West,184,197,16064,32,625,1.38E0,1555,14223,8.31E1,1.01454E4,122,111235
Coldside,242,247,18661,101,860,2.42E0,1636,8049,2.038E2,1.06759E4,157,94769
Colinton / Fairmilehead,286,183,25143,187,350,1.07E0,1188,9357,8.35E1,3.1141E3,284,258976
