"Area Name","House Prices: Reference Period = 2012; measure type = Mean","Ante-Natal Smoking: Population Group = Current Smoker; Reference Period = 2011-2013; measure type = Ratio","Disability Living Allowance: Age = All; Gender = All; Reference Period = 2011-Q1; measure type = Ratio"
"S01000001","251249","2.78","4891.3"
"S01000002","196728","3.03","3100.8"
"S01000003","141432","9.38","1219.5"
"S01000004","181857","4","1618.1"
"S01000005","167748","7.41","2525.3"
"S01000006","176230","30","5636.1"
"S01000007","234730","0","4315.7"
"S01000008","151389","23.53","4562"
"S01000009","174479","18.18","3698.2"
"S01000010","201348","11.11","3831.4"
"S01000011","381923","0","921.7"
"S01000012","326353","1.67","2814.9"
"S01000013","184516","36","3184.7"
"S01000014","188167","15","4415"
"S01000015","144650","7.69","2989.5"
"S01000016","485000","0","1362.4"
"S01000017","142891","13.64","4166.7"
"S01000018","134766","12","4960.3"
"S01000019","257000","0","2713.7"
"S01000020","334132","0","9286.4"
"S01000021","145067","13.79","5325.4"
"S01000022","465955","0","1314.1"
"S01000023","338701","7.14","1886.8"
"S01000024","387837","25","934.6"
"S01000025","496886","0","2648.3"
"S01000026","126917","34.29","9732.4"
"S01000027","288267","7.69","2448"
"S01000028","122516","26.67","7575.8"
"S01000029","523957","14.29","469"
"S01000030","105489","43.48","4098.4"
"S01000031","278272","0","2422.5"
"S01000032","128808","27.27","7653.1"
"S01000033","97929","26.19","6521.7"
"S01000034","454747","2.08","806.5"
"S01000035","137663","14.29","4793.9"
"S01000036","150609","21.74","8645.5"
"S01000037","142730","26.83","7112.4"
"S01000038","138165","18.52","6578.9"
"S01000039","138885","13.51","5662.5"
"S01000040","143586","29.63","6447.8"
"S01000041","279089","20","7863.7"
"S01000042","147346","15.15","9554.1"
"S01000043","143784","11.11","4522"
"S01000044","138293","26.32","9079.9"
"S01000045","278051","0","1757.5"
"S01000046","276823","7.14","1336.9"
"S01000047","150236","9.09","6675.6"
"S01000048","215339","6.06","1618.1"
"S01000049","304038","0","1373.6"
"S01000050","245985","0","4524.9"
"S01000051","313161","0","1884.4"
"S01000052","112955","14.81","10833.3"
"S01000053","205954","0","2349.6"
"S01000054","303951","0","632.9"
"S01000055","128800","28.57","6642.5"
"S01000056","359923","12.5","2306.3"
"S01000057","105000","34.29","9022.6"
"S01000058","336636","4","1434.7"
"S01000059","349217","4","1637.6"
"S01000060","75000","40.48","7867.1"
"S01000061","336975","0","1457.7"
"S01000062","179166","5.13","1039.5"
"S01000063","313239","0","1634"
"S01000064","143436","21.74","5627"
"S01000065","179936","7.32","2780.9"
"S01000066","94847","18.42","5841.1"
"S01000067","218020","6.82","2390.1"
"S01000068","210275","0","1746.2"
"S01000069","75008","44.44","8356.5"
"S01000070","108000","33.33","6230.5"
"S01000071","134000","37.5","7180.2"
"S01000072","247145","7.41","3610.1"
"S01000073","320086","0","2455"
"S01000074","102000","38.46","7303.4"
"S01000075","158426","11.11","1893.9"
"S01000076","295333","8.33","662.3"
"S01000077","249529","2.5","2132.2"
"S01000078","85408","17.07","3348.2"
"S01000079","241871","2.78","1962.3"
"S01000080","163388","5.08","2496.9"
"S01000081","389650","4.17","2145.9"
"S01000082","94389","26.83","6519.6"
"S01000083","275680","6.25","1292"
"S01000084","75754","21.05","5215.1"
"S01000085","123079","5.26","3205.1"
"S01000086","262081","5.13","1245.3"
"S01000087","360512","2.17","1306.6"
"S01000088","174452","7.89","2364.1"
"S01000089","342667","0","519.8"
"S01000090","190309","10.71","1270.6"
"S01000091","157217","6","3102.8"
"S01000092","143978","3.57","1845"
"S01000093","143517","9.68","1355"
"S01000094","134666","3.7","2152.1"
"S01000095","174901","2.13","1191.9"
"S01000096","145200","20","7913.7"
"S01000097","422124","0","809.1"
"S01000098","158240","7.69","4534.2"
"S01000099","454075","0","1700.7"
"S01000100","172788","14.89","3337"
"S01000101","244908","0","1067.2"
"S01000102","137030","10.81","6195.8"
"S01000103","193985","0","819.7"
"S01000104","473145","0","1082.3"
"S01000105","209153","0","2481.4"
"S01000106","406372","0","625"
"S01000107","114731","15.69","2657.2"
"S01000108","159770","8","5797.1"
"S01000109","162288","6.06","4972.9"
"S01000110","266368","9.09","3699.1"
"S01000111","293500","0","1997.3"
